id;titulo;marca;preco_original;preco_atual;desconto_pct;tem_desconto;tamanho;frete_gratis;usado;vendedor;loja;subcategoria;categoria;tag
"143927553";"conjunto souq em linho pink";"souq";480;480;0;false;"P";false;true;"bymi";"@vienjoada";"mocas-roupas-calcas";"feminino-roupas";""
"141159204";"top day esc azul g";"esc";100;74;26;true;"G";false;false;"Acucena";"@acucena-e6c92a";"mocas-roupas-blusas";"feminino-roupas";"26%"
"140366423";"blusa feminina manga longa bufante g c&amp;a";"c&a";50;42;16;true;"G";false;true;"larissa";"@laribritto";"mocas-roupas-camisas";"feminino-roupas";"barateou"
"124447377";"blusa tricô";"sem  marca";31;12;61.3;true;"P";false;true;"priscila";"@priscila-dccc37";"mocas-roupas-blusas";"feminino-roupas";"61%"
"111539193";"short de algodão";"sem  marca";33;14;57.6;true;"P";false;true;"jack";"@jaqueline-6cd4e9";"mocas-roupas-short";"feminino-roupas";"58%"
"143927552";"kit 3 blusas de tricô";"carmim";110;110;0;false;"G";false;true;"thamires";"@thamires-660b20";"mocas-roupas-camisas";"feminino-roupas";""
"143902096";"cardigã de tricô de lã vintage g";"lalalend";85;85;0;false;"G";false;true;"josi";"@josi-ffa794";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143901989";"top cropped tomara que caia estampado m";"colcci";35;35;0;false;"M";false;true;"josi";"@josi-ffa794";"mocas-roupas-blusas";"feminino-roupas";""
"143898863";"saia estampa étnica";"renner";44;44;0;false;"P";false;true;"pedro";"@desaphegos";"mocas-roupas-saias";"feminino-roupas";""
"143816101";"vestido chemise forever 21 preto g";"forever 21";70;70;0;false;"G";false;true;"fernanda";"@freispereira";"mocas-roupas-camisas";"feminino-roupas";""
"143689182";"calça de moletom levis g";"levi's";140;140;0;false;"G";false;false;"Beatriz";"@beatriz-2cae2c";"mocas-roupas-calcas";"feminino-roupas";""
"141831329";"casaquinho animale roxo";"animale";200;200;0;false;"P";false;true;"barbara";"@barbaranestler";"mocas-roupas-casaquinhos";"feminino-roupas";""
"139612179";"short saia feminino azul marinho";"shein";45;39;13.3;true;"M";false;false;"desapegos";"@daniel-cb5fd4";"mocas-roupas-short";"feminino-roupas";"13%"
"125353031";"camisa feminina modelo executivo
estilo social fashion, com zíper frontal , ma ga3/4 , vermelha";"sem  marca";38;20;47.4;true;"PP";false;true;"jack";"@jaqueline-6cd4e9";"mocas-roupas-camisas";"feminino-roupas";"47%"
"143948232";"calça legging fitness estampada única";"lipsoul";100;100;0;false;"Único";false;false;"Sâmela";"@samela-243125";"mocas-roupas-calcas";"feminino-roupas";""
"143916184";"minissaia jeans clochard";"dimy";75;75;0;false;"36";false;true;"dai";"@lalilith";"mocas-roupas-saias";"feminino-roupas";""
"143910928";"jaqueta feminina pu vinho m";"sem  marca";350;350;0;false;"M";false;false;"Taty";"@taty-05d2be";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143902257";"conjunto zara blazer e calça pantacourt p";"zara";160;160;0;false;"P";false;true;"josi";"@josi-ffa794";"mocas-roupas-ternos";"feminino-roupas";""
"143884665";"blazer branco e other stories";"e-other-stories";245;245;0;false;"42";false;true;"giulia";"@giulia-2ebc1e";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143879071";"blazer abercrombie azul petróleo p";"abercrombie & fitch";300;270;10;true;"P";false;false;"lah";"@lah-3d3e9f";"mocas-roupas-ternos";"feminino-roupas";"barateou"
"143821625";"conjunto saia e top";"sem  marca";42;42;0;false;"P";false;true;"Ana";"@ana-c3985b";"mocas-roupas-saias";"feminino-roupas";""
"143816096";"kit 2 saias femininas xs";"shein";49;49;0;false;"38";false;true;"pan";"@pan-0b7a91";"mocas-roupas-saias";"feminino-roupas";""
"143816094";"vestido longo gutiban vermelho m";"gutiban";87;87;0;false;"M";false;true;"Anaida";"@anaida-8610be";"mocas-roupas-vestidos-de-festa";"feminino-roupas";""
"143812846";"cardigan animale tricot comprido verde";"animale";200;200;0;false;"M";false;true;"Guilherme";"@guilherme-e0bd31";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143672551";"maio onda praia decote v estampado g";"onda-praia";90;90;0;false;"G";false;false;"valeria";"@valeria-a84f41";"";"feminino-roupas";""
"143641443";"calça jeans colcci skinny azul 38";"colcci";80;80;0;false;"38";false;true;"fernanda";"@fernanda-60f6e7";"mocas-roupas-calcas";"feminino-roupas";""
"143637587";"calça legging nike dri-fit feminina cinza corrida academia esporte original tamanho p";"nike";60;60;0;false;"P";false;true;"guilherme";"@guiizaparoli";"mocas-roupas-calcas";"feminino-roupas";""
"143631023";"shorts le lis blanc rosa 36";"le lis blanc";50;50;0;false;"36";false;true;"Telma";"@telma-2a0e4f";"mocas-roupas-short";"feminino-roupas";""
"143612038";"vestido forever 21 curto preto bordado pp";"forever 21";50;48;4;true;"PP";false;true;"Carolina";"@carolina-b2a920";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"4%"
"143503812";"conjunto bobstore animal print";"bobstore";120;120;0;false;"M";false;true;"Joana";"@joana-29cf5b";"mocas-roupas-short";"feminino-roupas";""
"143498685";"vestido lanca perfume easy preto p";"lança perfume";73;70;4.1;true;"P";false;true;"Patty";"@patty-7faa0c";"mocas-roupas-vestidos";"feminino-roupas";"4%"
"143447097";"camisa feminina listrada g";"carina vó";25;24;4;true;"G";false;true;"edlaine";"@edlaine-3cc4db";"mocas-roupas-camisas";"feminino-roupas";"4%"
"143434693";"shorts hering sports verde água p";"hering";82;82;0;false;"P";false;true;"priscila";"@priscila-77cbce";"mocas-roupas-short";"feminino-roupas";""
"143426181";"blusa pianeta poá preta 52";"pianeta";70;70;0;false;"52";false;true;"Patricia";"@patricia-b3523e";"mocas-roupas-blusas";"feminino-roupas";""
"143398317";"casaco feminino meltex p cru";"meltex";180;180;0;false;"P";false;false;"selma";"@yasmin-57a57e";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143340777";"casaco mio alongado cinza g";"mio bebe";87;87;0;false;"G";false;true;"Maria";"@maria-52f584";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143332452";"vestido de festa longo prateado m";"sem  marca";150;145;3.3;true;"M";false;true;"Joana";"@joana-defae4";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"3%"
"143250834";"colete de lã isabela capeto p";"isabela capeto";288;270;6.3;true;"P";false;true;"juliana";"@juliana-87a356";"mocas-roupas-coletes";"feminino-roupas";"6%"
"143217339";"calça jeans c&amp;a reta cintura alta 38";"c&a";100;100;0;false;"38";false;false;"Dani";"@dani-ddf9a3";"mocas-roupas-calcas";"feminino-roupas";""
"143175410";"sueter zara";"zara";349;188;46.1;true;"G";false;false;"gisele";"@gisele-0c560e";"mocas-roupas-casaquinhos";"feminino-roupas";"46%"
"142981392";"kit 2 calcinhas novas plus size tamanho 52 com etiqueta";"diva donna";40;40;0;false;"52";false;false;"Larissa";"@larissa-e0621e";"";"feminino-roupas";""
"142978901";"sobretudo feminino hering bege";"hering";80;80;0;false;"M";false;true;"aurea";"@aurea-f6a561";"mocas-roupas-casaquinhos";"feminino-roupas";""
"142975700";"jaqueta premium divina pele m";"divina pele";250;250;0;false;"M";false;true;"Ana";"@ana-dd57ed";"mocas-roupas-casaquinhos";"feminino-roupas";""
"142777788";"vestido h&amp;m tweed leve g";"h&m";150;150;0;false;"G";false;true;"caroline";"@caroluccini";"mocas-roupas-vestidos";"feminino-roupas";""
"142721414";"vestido de festa paetê preto g";"boutique laine gomes";300;282;6;true;"G";false;false;"luisa";"@luisa-d081d0";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"6%"
"142144661";"cardigan preto com renda mob (p)";"mob";40;34;15;true;"P";false;true;"paulo";"@victor-533e8e";"mocas-roupas-casaquinhos";"feminino-roupas";"15%"
"141182716";"saída de praia vermelha vix paula hermanny";"vix/paula hermanny";200;174;13;true;"PP";false;true;"enjoei";"@enjoei-pro";"";"feminino-roupas";"13%"
"141063747";"vestido midi preto tricô doce de coco";"doce de coco";385;385;0;false;"M";false;true;"Marcela";"@lalanoleto";"mocas-roupas-vestidos";"feminino-roupas";""
"143927553";"conjunto souq em linho pink";"souq";480;480;0;false;"P";false;true;"bymi";"@vienjoada";"mocas-roupas-calcas";"feminino-roupas";""
"141159204";"top day esc azul g";"esc";100;74;26;true;"G";false;false;"Acucena";"@acucena-e6c92a";"mocas-roupas-blusas";"feminino-roupas";"26%"
"140366423";"blusa feminina manga longa bufante g c&amp;a";"c&a";50;42;16;true;"G";false;true;"larissa";"@laribritto";"mocas-roupas-camisas";"feminino-roupas";"barateou"
"124447377";"blusa tricô";"sem  marca";31;12;61.3;true;"P";false;true;"priscila";"@priscila-dccc37";"mocas-roupas-blusas";"feminino-roupas";"61%"
"111539193";"short de algodão";"sem  marca";33;14;57.6;true;"P";false;true;"jack";"@jaqueline-6cd4e9";"mocas-roupas-short";"feminino-roupas";"58%"
"143927552";"kit 3 blusas de tricô";"carmim";110;110;0;false;"G";false;true;"thamires";"@thamires-660b20";"mocas-roupas-camisas";"feminino-roupas";""
"143902096";"cardigã de tricô de lã vintage g";"lalalend";85;85;0;false;"G";false;true;"josi";"@josi-ffa794";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143901989";"top cropped tomara que caia estampado m";"colcci";35;35;0;false;"M";false;true;"josi";"@josi-ffa794";"mocas-roupas-blusas";"feminino-roupas";""
"143898863";"saia estampa étnica";"renner";44;44;0;false;"P";false;true;"pedro";"@desaphegos";"mocas-roupas-saias";"feminino-roupas";""
"143816101";"vestido chemise forever 21 preto g";"forever 21";70;70;0;false;"G";false;true;"fernanda";"@freispereira";"mocas-roupas-camisas";"feminino-roupas";""
"143689182";"calça de moletom levis g";"levi's";140;140;0;false;"G";false;false;"Beatriz";"@beatriz-2cae2c";"mocas-roupas-calcas";"feminino-roupas";""
"141831329";"casaquinho animale roxo";"animale";200;200;0;false;"P";false;true;"barbara";"@barbaranestler";"mocas-roupas-casaquinhos";"feminino-roupas";""
"139612179";"short saia feminino azul marinho";"shein";45;39;13.3;true;"M";false;false;"desapegos";"@daniel-cb5fd4";"mocas-roupas-short";"feminino-roupas";"13%"
"125353031";"camisa feminina modelo executivo
estilo social fashion, com zíper frontal , ma ga3/4 , vermelha";"sem  marca";38;20;47.4;true;"PP";false;true;"jack";"@jaqueline-6cd4e9";"mocas-roupas-camisas";"feminino-roupas";"47%"
"143948232";"calça legging fitness estampada única";"lipsoul";100;100;0;false;"Único";false;false;"Sâmela";"@samela-243125";"mocas-roupas-calcas";"feminino-roupas";""
"143916184";"minissaia jeans clochard";"dimy";75;75;0;false;"36";false;true;"dai";"@lalilith";"mocas-roupas-saias";"feminino-roupas";""
"143910928";"jaqueta feminina pu vinho m";"sem  marca";350;350;0;false;"M";false;false;"Taty";"@taty-05d2be";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143902257";"conjunto zara blazer e calça pantacourt p";"zara";160;160;0;false;"P";false;true;"josi";"@josi-ffa794";"mocas-roupas-ternos";"feminino-roupas";""
"143884665";"blazer branco e other stories";"e-other-stories";245;245;0;false;"42";false;true;"giulia";"@giulia-2ebc1e";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143879071";"blazer abercrombie azul petróleo p";"abercrombie & fitch";300;270;10;true;"P";false;false;"lah";"@lah-3d3e9f";"mocas-roupas-ternos";"feminino-roupas";"barateou"
"143821625";"conjunto saia e top";"sem  marca";42;42;0;false;"P";false;true;"Ana";"@ana-c3985b";"mocas-roupas-saias";"feminino-roupas";""
"143816096";"kit 2 saias femininas xs";"shein";49;49;0;false;"38";false;true;"pan";"@pan-0b7a91";"mocas-roupas-saias";"feminino-roupas";""
"143816094";"vestido longo gutiban vermelho m";"gutiban";87;87;0;false;"M";false;true;"Anaida";"@anaida-8610be";"mocas-roupas-vestidos-de-festa";"feminino-roupas";""
"143812846";"cardigan animale tricot comprido verde";"animale";200;200;0;false;"M";false;true;"Guilherme";"@guilherme-e0bd31";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143672551";"maio onda praia decote v estampado g";"onda-praia";90;90;0;false;"G";false;false;"valeria";"@valeria-a84f41";"";"feminino-roupas";""
"143641443";"calça jeans colcci skinny azul 38";"colcci";80;80;0;false;"38";false;true;"fernanda";"@fernanda-60f6e7";"mocas-roupas-calcas";"feminino-roupas";""
"143637587";"calça legging nike dri-fit feminina cinza corrida academia esporte original tamanho p";"nike";60;60;0;false;"P";false;true;"guilherme";"@guiizaparoli";"mocas-roupas-calcas";"feminino-roupas";""
"143631023";"shorts le lis blanc rosa 36";"le lis blanc";50;50;0;false;"36";false;true;"Telma";"@telma-2a0e4f";"mocas-roupas-short";"feminino-roupas";""
"143612038";"vestido forever 21 curto preto bordado pp";"forever 21";50;48;4;true;"PP";false;true;"Carolina";"@carolina-b2a920";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"4%"
"143503812";"conjunto bobstore animal print";"bobstore";120;120;0;false;"M";false;true;"Joana";"@joana-29cf5b";"mocas-roupas-short";"feminino-roupas";""
"143498685";"vestido lanca perfume easy preto p";"lança perfume";73;70;4.1;true;"P";false;true;"Patty";"@patty-7faa0c";"mocas-roupas-vestidos";"feminino-roupas";"4%"
"143447097";"camisa feminina listrada g";"carina vó";25;24;4;true;"G";false;true;"edlaine";"@edlaine-3cc4db";"mocas-roupas-camisas";"feminino-roupas";"4%"
"143434693";"shorts hering sports verde água p";"hering";82;82;0;false;"P";false;true;"priscila";"@priscila-77cbce";"mocas-roupas-short";"feminino-roupas";""
"143426181";"blusa pianeta poá preta 52";"pianeta";70;70;0;false;"52";false;true;"Patricia";"@patricia-b3523e";"mocas-roupas-blusas";"feminino-roupas";""
"143398317";"casaco feminino meltex p cru";"meltex";180;180;0;false;"P";false;false;"selma";"@yasmin-57a57e";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143340777";"casaco mio alongado cinza g";"mio bebe";87;87;0;false;"G";false;true;"Maria";"@maria-52f584";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143332452";"vestido de festa longo prateado m";"sem  marca";150;145;3.3;true;"M";false;true;"Joana";"@joana-defae4";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"3%"
"143250834";"colete de lã isabela capeto p";"isabela capeto";288;270;6.3;true;"P";false;true;"juliana";"@juliana-87a356";"mocas-roupas-coletes";"feminino-roupas";"6%"
"143217339";"calça jeans c&amp;a reta cintura alta 38";"c&a";100;100;0;false;"38";false;false;"Dani";"@dani-ddf9a3";"mocas-roupas-calcas";"feminino-roupas";""
"143175410";"sueter zara";"zara";349;188;46.1;true;"G";false;false;"gisele";"@gisele-0c560e";"mocas-roupas-casaquinhos";"feminino-roupas";"46%"
"142981392";"kit 2 calcinhas novas plus size tamanho 52 com etiqueta";"diva donna";40;40;0;false;"52";false;false;"Larissa";"@larissa-e0621e";"";"feminino-roupas";""
"142978901";"sobretudo feminino hering bege";"hering";80;80;0;false;"M";false;true;"aurea";"@aurea-f6a561";"mocas-roupas-casaquinhos";"feminino-roupas";""
"142975700";"jaqueta premium divina pele m";"divina pele";250;250;0;false;"M";false;true;"Ana";"@ana-dd57ed";"mocas-roupas-casaquinhos";"feminino-roupas";""
"142777788";"vestido h&amp;m tweed leve g";"h&m";150;150;0;false;"G";false;true;"caroline";"@caroluccini";"mocas-roupas-vestidos";"feminino-roupas";""
"142721414";"vestido de festa paetê preto g";"boutique laine gomes";300;282;6;true;"G";false;false;"luisa";"@luisa-d081d0";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"6%"
"142144661";"cardigan preto com renda mob (p)";"mob";40;34;15;true;"P";false;true;"paulo";"@victor-533e8e";"mocas-roupas-casaquinhos";"feminino-roupas";"15%"
"141182716";"saída de praia vermelha vix paula hermanny";"vix/paula hermanny";200;174;13;true;"PP";false;true;"enjoei";"@enjoei-pro";"";"feminino-roupas";"13%"
"141063747";"vestido midi preto tricô doce de coco";"doce de coco";385;385;0;false;"M";false;true;"Marcela";"@lalanoleto";"mocas-roupas-vestidos";"feminino-roupas";""
"143927553";"conjunto souq em linho pink";"souq";480;480;0;false;"P";false;true;"bymi";"@vienjoada";"mocas-roupas-calcas";"feminino-roupas";""
"141159204";"top day esc azul g";"esc";100;74;26;true;"G";false;false;"Acucena";"@acucena-e6c92a";"mocas-roupas-blusas";"feminino-roupas";"26%"
"140366423";"blusa feminina manga longa bufante g c&amp;a";"c&a";50;42;16;true;"G";false;true;"larissa";"@laribritto";"mocas-roupas-camisas";"feminino-roupas";"barateou"
"124447377";"blusa tricô";"sem  marca";31;12;61.3;true;"P";false;true;"priscila";"@priscila-dccc37";"mocas-roupas-blusas";"feminino-roupas";"61%"
"111539193";"short de algodão";"sem  marca";33;14;57.6;true;"P";false;true;"jack";"@jaqueline-6cd4e9";"mocas-roupas-short";"feminino-roupas";"58%"
"143927552";"kit 3 blusas de tricô";"carmim";110;110;0;false;"G";false;true;"thamires";"@thamires-660b20";"mocas-roupas-camisas";"feminino-roupas";""
"143902096";"cardigã de tricô de lã vintage g";"lalalend";85;85;0;false;"G";false;true;"josi";"@josi-ffa794";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143901989";"top cropped tomara que caia estampado m";"colcci";35;35;0;false;"M";false;true;"josi";"@josi-ffa794";"mocas-roupas-blusas";"feminino-roupas";""
"143898863";"saia estampa étnica";"renner";44;44;0;false;"P";false;true;"pedro";"@desaphegos";"mocas-roupas-saias";"feminino-roupas";""
"143816101";"vestido chemise forever 21 preto g";"forever 21";70;70;0;false;"G";false;true;"fernanda";"@freispereira";"mocas-roupas-camisas";"feminino-roupas";""
"143689182";"calça de moletom levis g";"levi's";140;140;0;false;"G";false;false;"Beatriz";"@beatriz-2cae2c";"mocas-roupas-calcas";"feminino-roupas";""
"141831329";"casaquinho animale roxo";"animale";200;200;0;false;"P";false;true;"barbara";"@barbaranestler";"mocas-roupas-casaquinhos";"feminino-roupas";""
"139612179";"short saia feminino azul marinho";"shein";45;39;13.3;true;"M";false;false;"desapegos";"@daniel-cb5fd4";"mocas-roupas-short";"feminino-roupas";"13%"
"125353031";"camisa feminina modelo executivo
estilo social fashion, com zíper frontal , ma ga3/4 , vermelha";"sem  marca";38;20;47.4;true;"PP";false;true;"jack";"@jaqueline-6cd4e9";"mocas-roupas-camisas";"feminino-roupas";"47%"
"143948232";"calça legging fitness estampada única";"lipsoul";100;100;0;false;"Único";false;false;"Sâmela";"@samela-243125";"mocas-roupas-calcas";"feminino-roupas";""
"143916184";"minissaia jeans clochard";"dimy";75;75;0;false;"36";false;true;"dai";"@lalilith";"mocas-roupas-saias";"feminino-roupas";""
"143910928";"jaqueta feminina pu vinho m";"sem  marca";350;350;0;false;"M";false;false;"Taty";"@taty-05d2be";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143902257";"conjunto zara blazer e calça pantacourt p";"zara";160;160;0;false;"P";false;true;"josi";"@josi-ffa794";"mocas-roupas-ternos";"feminino-roupas";""
"143884665";"blazer branco e other stories";"e-other-stories";245;245;0;false;"42";false;true;"giulia";"@giulia-2ebc1e";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143879071";"blazer abercrombie azul petróleo p";"abercrombie & fitch";300;270;10;true;"P";false;false;"lah";"@lah-3d3e9f";"mocas-roupas-ternos";"feminino-roupas";"barateou"
"143821625";"conjunto saia e top";"sem  marca";42;42;0;false;"P";false;true;"Ana";"@ana-c3985b";"mocas-roupas-saias";"feminino-roupas";""
"143816096";"kit 2 saias femininas xs";"shein";49;49;0;false;"38";false;true;"pan";"@pan-0b7a91";"mocas-roupas-saias";"feminino-roupas";""
"143816094";"vestido longo gutiban vermelho m";"gutiban";87;87;0;false;"M";false;true;"Anaida";"@anaida-8610be";"mocas-roupas-vestidos-de-festa";"feminino-roupas";""
"143812846";"cardigan animale tricot comprido verde";"animale";200;200;0;false;"M";false;true;"Guilherme";"@guilherme-e0bd31";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143672551";"maio onda praia decote v estampado g";"onda-praia";90;90;0;false;"G";false;false;"valeria";"@valeria-a84f41";"";"feminino-roupas";""
"143641443";"calça jeans colcci skinny azul 38";"colcci";80;80;0;false;"38";false;true;"fernanda";"@fernanda-60f6e7";"mocas-roupas-calcas";"feminino-roupas";""
"143637587";"calça legging nike dri-fit feminina cinza corrida academia esporte original tamanho p";"nike";60;60;0;false;"P";false;true;"guilherme";"@guiizaparoli";"mocas-roupas-calcas";"feminino-roupas";""
"143631023";"shorts le lis blanc rosa 36";"le lis blanc";50;50;0;false;"36";false;true;"Telma";"@telma-2a0e4f";"mocas-roupas-short";"feminino-roupas";""
"143612038";"vestido forever 21 curto preto bordado pp";"forever 21";50;48;4;true;"PP";false;true;"Carolina";"@carolina-b2a920";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"4%"
"143503812";"conjunto bobstore animal print";"bobstore";120;120;0;false;"M";false;true;"Joana";"@joana-29cf5b";"mocas-roupas-short";"feminino-roupas";""
"143498685";"vestido lanca perfume easy preto p";"lança perfume";73;70;4.1;true;"P";false;true;"Patty";"@patty-7faa0c";"mocas-roupas-vestidos";"feminino-roupas";"4%"
"143447097";"camisa feminina listrada g";"carina vó";25;24;4;true;"G";false;true;"edlaine";"@edlaine-3cc4db";"mocas-roupas-camisas";"feminino-roupas";"4%"
"143434693";"shorts hering sports verde água p";"hering";82;82;0;false;"P";false;true;"priscila";"@priscila-77cbce";"mocas-roupas-short";"feminino-roupas";""
"143426181";"blusa pianeta poá preta 52";"pianeta";70;70;0;false;"52";false;true;"Patricia";"@patricia-b3523e";"mocas-roupas-blusas";"feminino-roupas";""
"143398317";"casaco feminino meltex p cru";"meltex";180;180;0;false;"P";false;false;"selma";"@yasmin-57a57e";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143340777";"casaco mio alongado cinza g";"mio bebe";87;87;0;false;"G";false;true;"Maria";"@maria-52f584";"mocas-roupas-casaquinhos";"feminino-roupas";""
"143332452";"vestido de festa longo prateado m";"sem  marca";150;145;3.3;true;"M";false;true;"Joana";"@joana-defae4";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"3%"
"143250834";"colete de lã isabela capeto p";"isabela capeto";288;270;6.3;true;"P";false;true;"juliana";"@juliana-87a356";"mocas-roupas-coletes";"feminino-roupas";"6%"
"143217339";"calça jeans c&amp;a reta cintura alta 38";"c&a";100;100;0;false;"38";false;false;"Dani";"@dani-ddf9a3";"mocas-roupas-calcas";"feminino-roupas";""
"143175410";"sueter zara";"zara";349;188;46.1;true;"G";false;false;"gisele";"@gisele-0c560e";"mocas-roupas-casaquinhos";"feminino-roupas";"46%"
"142981392";"kit 2 calcinhas novas plus size tamanho 52 com etiqueta";"diva donna";40;40;0;false;"52";false;false;"Larissa";"@larissa-e0621e";"";"feminino-roupas";""
"142978901";"sobretudo feminino hering bege";"hering";80;80;0;false;"M";false;true;"aurea";"@aurea-f6a561";"mocas-roupas-casaquinhos";"feminino-roupas";""
"142975700";"jaqueta premium divina pele m";"divina pele";250;250;0;false;"M";false;true;"Ana";"@ana-dd57ed";"mocas-roupas-casaquinhos";"feminino-roupas";""
"142777788";"vestido h&amp;m tweed leve g";"h&m";150;150;0;false;"G";false;true;"caroline";"@caroluccini";"mocas-roupas-vestidos";"feminino-roupas";""
"142721414";"vestido de festa paetê preto g";"boutique laine gomes";300;282;6;true;"G";false;false;"luisa";"@luisa-d081d0";"mocas-roupas-vestidos-de-festa";"feminino-roupas";"6%"
"142144661";"cardigan preto com renda mob (p)";"mob";40;34;15;true;"P";false;true;"paulo";"@victor-533e8e";"mocas-roupas-casaquinhos";"feminino-roupas";"15%"
"141182716";"saída de praia vermelha vix paula hermanny";"vix/paula hermanny";200;174;13;true;"PP";false;true;"enjoei";"@enjoei-pro";"";"feminino-roupas";"13%"
"141063747";"vestido midi preto tricô doce de coco";"doce de coco";385;385;0;false;"M";false;true;"Marcela";"@lalanoleto";"mocas-roupas-vestidos";"feminino-roupas";""
"140664546";"zara camisa masculina manga longa";"zara";135;121;10.4;true;"M";false;true;"tom";"@tom-07c46f";"rapazes-roupas-camisas";"masculino-roupas";"barateou"
"143886135";"camiseta masculina track &amp; field verde g";"track & field";98;98;0;false;"G";false;true;"your";"@yourvibe";"rapazes-roupas-camisetas";"masculino-roupas";""
"143601806";"short bermuda chino casual hering bege | short | bermuda masculina | hering | chino";"hering";80;80;0;false;"36";false;true;"marcelo";"@marcelo-8157c3";"rapazes-roupas-bermudas";"masculino-roupas";""
"143568059";"camisa real madrid adidas branca";"adidas";499;399;20;true;"G";false;false;"natthan";"@natthan-22b87b";"rapazes-roupas-camisas";"masculino-roupas";"20%"
"143357549";"calça térmica the north face preta";"the north face";348;340;2.3;true;"";false;false;"aline";"@aline-99b8f3";"";"masculino-roupas";"2%"
"142600056";"camiseta kenzo cinza g";"kenzo";170;170;0;false;"G";false;true;"Adriana";"@adriana-0f1d57";"rapazes-roupas-camisetas";"masculino-roupas";""
"142593193";"camiseta patrick estrela branca";"sem  marca";60;60;0;false;"Único";false;false;"Leonardo";"@leonardo-0ac39c";"rapazes-roupas-camisetas";"masculino-roupas";""
"141885204";"bermuda adidas preta m";"adidas";85;85;0;false;"M";false;true;"Gesiane";"@gesiane-0868df";"rapazes-roupas-bermudas";"masculino-roupas";""
"140608533";"camiseta jordan nike preta g";"nike";125;90;28;true;"G";false;true;"Fernando";"@fernando-b9807d";"rapazes-roupas-camisas";"masculino-roupas";"28%"
"140575761";"camiseta azul malharia tropical";"malharia tropical";31;31;0;false;"G";false;true;"enjoei";"@enjoei-pro";"rapazes-roupas-camisetas";"masculino-roupas";""
"143816266";"blazer masculino zara casual slim fit -novo- tam.g";"zara";348;348;0;false;"G";false;false;"jose";"@jose-fb2d9c";"rapazes-roupas-blazer";"masculino-roupas";""
"143768873";"casaco billabong cinza com pelo tamanho m";"billabong";180;180;0;false;"M";false;true;"Manuela";"@manuela-0b712a";"rapazes-roupas-casacos";"masculino-roupas";""
"143927551";"camisa hollister xadrez vermelha g";"hollister";99;99;0;false;"G";false;true;"DIEGO";"@diego-5335d0";"rapazes-roupas-camisas";"masculino-roupas";""
"143883845";"macacão fitness posh uva flare decote costas yoga academia treino corrida bike yoga beach tênis";"hipkini";355;355;0;false;"M";false;false;"jacqueline";"@jacqueline-33e6d5";"rapazes-roupas-casacos";"masculino-roupas";""
"143867213";"camiseta adidas alemanha branca m";"adidas";102;102;0;false;"M";false;true;"igydio";"@igydio-a2d1e2";"rapazes-roupas-camisetas";"masculino-roupas";""
"143910929";"camisa flanelada xadrez regular fit vermelha | camisa | camisa xadrez | blusa | camisa masculina";"original.";135;135;0;false;"GG";false;true;"marcelo";"@marcelo-8157c3";"rapazes-roupas-camisas";"masculino-roupas";""
"143910925";"jaqueta ferrari couro legítimo preta g";"ferrari";7900;7900;0;false;"G";false;true;"brechózin";"@brechozin-af2bd6";"rapazes-roupas-casacos";"masculino-roupas";""
"143847047";"blusa polo tiger azul m";"tiger";39;39;0;false;"M";false;true;"emilly";"@emilly-53cf98";"rapazes-roupas-camisas";"masculino-roupas";""
"143840114";"bermuda armadillo masculina preta 46";"armadillo";240;240;0;false;"46";false;false;"guilherme";"@guilherme-2fcd54";"rapazes-roupas-bermudas";"masculino-roupas";""
"143834022";"calça masculina m&amp;s teal";"m&s";140;140;0;false;"52";false;true;"vick";"@enchivendi";"rapazes-roupas-calcas";"masculino-roupas";""
"143834023";"polo masculina analogy bege g";"analogy";55;55;0;false;"G";false;true;"Patrícia";"@patricia-d3f989";"rapazes-roupas-camisas";"masculino-roupas";""
"143165587";"calça nike cargo verde m";"nike";410;410;0;false;"M";false;false;"jociane";"@jociane-368cca";"rapazes-roupas-calcas";"masculino-roupas";""
